DataHora;Satelite;Pais;Estado;Municipi;Bioma;DiaSemCh;Precipit;RiscoFog;Latitude;Longitud;AreaIndu;FRP
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;SEBASTIAO LEAL;Cerrado;62;0;1;"-7,995";"-44,069";;72.9
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;BERTOLINIA;Cerrado;62;0;1;"-7,946";"-43,939";;53
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;BERTOLINIA;Cerrado;62;0;1;"-7,944";"-43,927";;43.3
2019/09/08 16:20:00;AQUA_M-T;Brasil;BAHIA;FORMOSA DO RIO PRETO;Cerrado;88;0;1;"-10,744";"-45,912";;52.6
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;SAO JOSE DO PIAUI;Caatinga;62;0;1;"-6,891";"-41,531";;237.9
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARRA DO CORDA;Cerrado;60;0;1;"-5,683";"-45,353";;45
2019/09/08 16:20:00;AQUA_M-T;Brasil;BAHIA;FORMOSA DO RIO PRETO;Cerrado;88;0;1;"-10,746";"-45,931";;182.5
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;JENIPAPO DOS VIEIRAS;Cerrado;100;0;1;"-5,563";"-45,482";;224.2
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARRA DO CORDA;Cerrado;22;0;1;"-5,679";"-45,076";;63.7
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARAO DE GRAJAU;Caatinga;62;0;1;"-6,577";"-43,381";;18.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARRA DO CORDA;Cerrado;60;0;1;"-5,641";"-45,379";;89.2
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;ASSUNCAO DO PIAUI;Caatinga;59;0;1;"-6,024";"-41,065";;275.5
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;NOVA IORQUE;Cerrado;61;0;1;"-6,705";"-44,099";;66.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;URUCUI;Cerrado;62;0;1;"-7,98";"-44,48";;35
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BARRA DO CORDA;Cerrado;22;0;1;"-5,705";"-45,266";;14
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;SAO FELIX DE BALSAS;Cerrado;62;0;1;"-6,914";"-44,807";;13.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;BALSAS;Cerrado;62;0;1;"-7,598";"-46,085";;58.5
2019/09/08 16:20:00;AQUA_M-T;Brasil;PIAUI;AROEIRAS DO ITAIM;Caatinga;63;0;1;"-7,248";"-41,587";;9.1
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;SAO SALVADOR DO TOCANTINS;Cerrado;114;0;1;"-12,315";"-48,392";;102.6
2019/09/08 16:20:00;AQUA_M-T;Brasil;TOCANTINS;CAMPOS LINDOS;Cerrado;61;0;1;"-8,457";"-46,887";;35.2
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;LORETO;Cerrado;62;0;1;"-6,898";"-45,016";;14.8
2019/09/08 16:20:00;AQUA_M-T;Brasil;MARANHAO;GRAJAU;Cerrado;63;0;1;"-5,915";"-46,122";;73.3
